video,numFrame,seconds,fps,rfps,subset,featureFrame
Needle_Passing_B001_capture1,3452,115.07,30,30,training_unlabel,3452
Needle_Passing_B001_capture2,3452,115.07,30,30,training_unlabel,3452
Needle_Passing_B002_capture1,3182,106.07,30,30,training,3182
Needle_Passing_B002_capture2,3182,106.07,30,30,training_unlabel,3182
Needle_Passing_B003_capture1,3243,109.1,30,30,training_unlabel,3243
Needle_Passing_B003_capture2,3243,109.1,30,30,training_unlabel,3243
Needle_Passing_B004_capture1,2893,96.43,30,30,training,2893
Needle_Passing_B004_capture2,2893,96.43,30,30,training_unlabel,2893
Needle_Passing_C001_capture1,4327,144.23,30,30,training_unlabel,4327
Needle_Passing_C001_capture2,4327,144.23,30,30,training_unlabel,4327
Needle_Passing_C002_capture1,3628,120.93,30,30,training,3628
Needle_Passing_C002_capture2,3628,120.93,30,30,training_unlabel,3628
Needle_Passing_C003_capture1,3577,119.23,30,30,training_unlabel,3577
Needle_Passing_C003_capture2,3577,119.23,30,30,training_unlabel,3577
Needle_Passing_C004_capture1,2447,82.57,30,30,training_unlabel,2447
Needle_Passing_C004_capture2,2447,82.57,30,30,training,2447
Needle_Passing_C005_capture1,2562,85.4,30,30,validation,2562
Needle_Passing_C005_capture2,2562,85.4,30,30,validation,2562
Needle_Passing_D001_capture1,4656,155.2,30,30,training_unlabel,4656
Needle_Passing_D001_capture2,4656,155.2,30,30,training_unlabel,4656
Needle_Passing_D002_capture1,3290,109.67,30,30,training_unlabel,3290
Needle_Passing_D002_capture2,3290,109.67,30,30,training_unlabel,3290
Needle_Passing_D003_capture1,3250,108.33,30,30,training,3250
Needle_Passing_D003_capture2,3250,108.33,30,30,training_unlabel,3250
Needle_Passing_D004_capture1,2715,90.5,30,30,training_unlabel,2715
Needle_Passing_D004_capture2,2715,90.5,30,30,training_unlabel,2715
Needle_Passing_D005_capture1,2130,70.99,30,30,validation,2130
Needle_Passing_D005_capture2,2130,70.99,30,30,validation,2130
Needle_Passing_E001_capture1,3269,108.97,30,30,training_unlabel,3269
Needle_Passing_E001_capture2,3269,108.97,30,30,training_unlabel,3269
Needle_Passing_E003_capture1,3429,114.3,30,30,training,3429
Needle_Passing_E003_capture2,3429,114.3,30,30,training_unlabel,3429
Needle_Passing_E004_capture1,3381,112.7,30,30,training_unlabel,3381
Needle_Passing_E004_capture2,3381,112.7,30,30,training_unlabel,3381
Needle_Passing_E005_capture1,3331,111.03,30,30,validation,3331
Needle_Passing_E005_capture2,3331,111.03,30,30,validation,3331
Needle_Passing_F001_capture1,1875,62.5,30,30,training,1875
Needle_Passing_F001_capture2,1875,62.5,30,30,training_unlabel,1875
Needle_Passing_F003_capture1,2326,77.53,30,30,training_unlabel,2326
Needle_Passing_F003_capture2,2326,77.53,30,30,training_unlabel,2326
Needle_Passing_F004_capture1,1791,59.7,30,30,training_unlabel,1791
Needle_Passing_F004_capture2,1791,59.7,30,30,training,1791
Needle_Passing_H002_capture1,3714,123.8,30,30,training_unlabel,3714
Needle_Passing_H002_capture2,3714,123.8,30,30,training_unlabel,3714
Needle_Passing_H004_capture1,3666,122.2,30,30,training_unlabel,3666
Needle_Passing_H004_capture2,3666,122.2,30,30,training,3666
Needle_Passing_H005_capture1,3330,110.99,30,30,validation,3330
Needle_Passing_H005_capture2,3330,110.99,30,30,validation,3330
Needle_Passing_I002_capture1,3445,114.83,30,30,training_unlabel,3445
Needle_Passing_I002_capture2,3445,114.83,30,30,training_unlabel,3445
Needle_Passing_I003_capture1,4776,159.2,30,30,training_unlabel,4776
Needle_Passing_I003_capture2,4776,159.2,30,30,training_unlabel,4776
Needle_Passing_I004_capture1,3992,133.07,30,30,training_unlabel,3992
Needle_Passing_I004_capture2,3992,133.07,30,30,training,3992
Needle_Passing_I005_capture1,3427,114.23,30,30,validation,3427
Needle_Passing_I005_capture2,3427,114.23,30,30,validation,3427
