video,numFrame,seconds,fps,rfps,subset,featureFrame
Suturing_B001_capture1,5640,187.99,30,30,training,5640
Suturing_B001_capture2,5640,187.99,30,30,training_unlabel,5640
Suturing_B002_capture1,3462,115.4,30,30,validation,3462
Suturing_B002_capture2,3462,115.4,30,30,validation,3462
Suturing_B003_capture1,3437,114.57,30,30,training_unlabel,3437
Suturing_B003_capture2,3437,114.57,30,30,training_unlabel,3437
Suturing_B004_capture1,3274,109.13,30,30,training,3274
Suturing_B004_capture2,3274,109.13,30,30,training_unlabel,3274
Suturing_B005_capture1,2863,95.43,30,30,training_unlabel,2863
Suturing_B005_capture2,2863,95.43,30,30,training,2863
Suturing_C001_capture1,3185,106.17,30,30,training_unlabel,3185
Suturing_C001_capture2,3185,106.17,30,30,training_unlabel,3185
Suturing_C002_capture1,3282,109.4,30,30,validation,3282
Suturing_C002_capture2,3282,109.4,30,30,validation,3282
Suturing_C003_capture1,3166,105.53,30,30,training_unlabel,3166
Suturing_C003_capture2,3166,105.53,30,30,training,3166
Suturing_C004_capture1,2493,83.1,30,30,training_unlabel,2493
Suturing_C004_capture2,2493,83.1,30,30,training,2493
Suturing_C005_capture1,2581,86.03,30,30,training_unlabel,2581
Suturing_C005_capture2,2581,86.03,30,30,training_unlabel,2581
Suturing_D001_capture1,2816,93.87,30,30,training_unlabel,2816
Suturing_D001_capture2,2816,93.87,30,30,training_unlabel,2816
Suturing_D002_capture1,2219,73.97,30,30,validation,2219
Suturing_D002_capture2,2219,73.97,30,30,validation,2219
Suturing_D003_capture1,2322,77.4,30,30,training_unlabel,2322
Suturing_D003_capture2,2322,77.4,30,30,training_unlabel,2322
Suturing_D004_capture1,2747,91.57,30,30,training,2747
Suturing_D004_capture2,2747,91.57,30,30,training_unlabel,2747
Suturing_D005_capture1,1794,59.8,30,30,training_unlabel,1794
Suturing_D005_capture2,1794,59.8,30,30,training,1794
Suturing_E001_capture1,3607,120.23,30,30,training_unlabel,3607
Suturing_E001_capture2,3607,120.23,30,30,training_unlabel,3607
Suturing_E002_capture1,2953,98.43,30,30,validation,2953
Suturing_E002_capture2,2953,98.43,30,30,validation,2953
Suturing_E003_capture1,2609,86.97,30,30,training_unlabel,2609
Suturing_E003_capture2,2609,86.97,30,30,training_unlabel,2609
Suturing_E004_capture1,2931,97.7,30,30,training,2931
Suturing_E004_capture2,2931,97.7,30,30,training_unlabel,2931
Suturing_E005_capture1,2488,82.93,30,30,training_unlabel,2488
Suturing_E005_capture2,2488,82.93,30,30,training_unlabel,2488
Suturing_F001_capture1,2844,82.93,30,30,training_unlabel,2844
Suturing_F001_capture2,2844,82.93,30,30,training,2844
Suturing_F002_capture1,2380,79.33,30,30,validation,2380
Suturing_F002_capture2,2380,79.33,30,30,validation,2380
Suturing_F003_capture1,2279,75.97,30,30,training_unlabel,2279
Suturing_F003_capture2,2279,75.97,30,30,training,2279
Suturing_F004_capture1,2378,79.27,30,30,training_unlabel,2378
Suturing_F004_capture2,2378,79.27,30,30,training_unlabel,2378
Suturing_F005_capture1,2046,68.2,30,30,training_unlabel,2046
Suturing_F005_capture2,2046,68.2,30,30,training_unlabel,2046
Suturing_G001_capture1,9026,300.87,30,30,training,9026
Suturing_G001_capture2,9026,300.87,30,30,training_unlabel,9026
Suturing_G002_capture1,3385,112.83,30,30,validation,3385
Suturing_G002_capture2,3385,112.83,30,30,validation,3385
Suturing_G003_capture1,5215,173.83,30,30,training_unlabel,5215
Suturing_G003_capture2,5215,173.83,30,30,training_unlabel,5215
Suturing_G004_capture1,2655,88.5,30,30,training_unlabel,2655
Suturing_G004_capture2,2655,88.5,30,30,training_unlabel,2655
Suturing_G005_capture1,2469,82.3,30,30,training_unlabel,2469
Suturing_G005_capture2,2469,82.3,30,30,training,2469
Suturing_H001_capture1,5658,188.6,30,30,training_unlabel,5658
Suturing_H001_capture2,5658,188.6,30,30,training_unlabel,5658
Suturing_H003_capture1,3409,113.63,30,30,training_unlabel,3409
Suturing_H003_capture2,3409,113.63,30,30,training_unlabel,3409
Suturing_H004_capture1,4100,136.67,30,30,training_unlabel,4100
Suturing_H004_capture2,4100,136.67,30,30,training_unlabel,4100
Suturing_H005_capture1,3441,114.7,30,30,training_unlabel,3441
Suturing_H005_capture2,3441,114.7,30,30,training,3441
Suturing_I001_capture1,4318,143.93,30,30,training_unlabel,4318
Suturing_I001_capture2,4318,143.93,30,30,training_unlabel,4318
Suturing_I002_capture1,4417,147.23,30,30,validation,4417
Suturing_I002_capture2,4417,147.23,30,30,validation,4417
Suturing_I003_capture1,4289,142.97,30,30,training_unlabel,4289
Suturing_I003_capture2,4289,142.97,30,30,training_unlabel,4289
Suturing_I004_capture1,3745,124.83,30,30,training_unlabel,3745
Suturing_I004_capture2,3745,124.83,30,30,training_unlabel,3745
Suturing_I005_capture1,3778,125.93,30,30,training_unlabel,3778
Suturing_I005_capture2,3778,125.93,30,30,training_unlabel,3778
